movieCd,movieNm,movieNmEn,movieNmOg,audits,openDt,showTm,genres,directors
20195915,해피 데스데이 2 유,Happy Death Day 2 U,,15세이상관람가,20190214,100,공포(호러),크리스토퍼 랜던
20020222,해리포터와 비밀의 방,Harry Potter And The Chamber Of Secrets,,전체관람가,20021213,161,드라마,크리스 콜럼버스
20185576,콜드 체이싱,Cold Pursuit,,15세이상관람가,20190220,118,액션,한스 페터 몰란트
20184888,메리 포핀스 리턴즈,Mary Poppins Returns,,전체관람가,20190214,130,판타지,롭 마샬
20174169,기묘한 가족,THE ODD FAMILY : ZOMBIE ON SALE,,12세이상관람가,20190213,111,코미디,이민재
20180868,뺑반,Hit-and-Run Squad,,15세이상관람가,20190130,133,범죄,한준희
20162003,명탐정 코난:전율의 악보,Detective Conan: Full Score of Fear,,12세이상관람가,20190214,115,애니메이션,야마모토 야스이치로
20185478,극장판 헬로카봇: 옴파로스 섬의 비밀,Hello Carbot The Movie: The Secret of Omphalos Island,,전체관람가,20190131,78,애니메이션,김진철
20185444,레고 무비2,The Lego Movie 2: The Second Part,,전체관람가,20190206,106,애니메이션,마이크 미첼
20184105,말모이,MAL·MO·E: The Secret Mission,,12세이상관람가,20190109,135,드라마,엄유나
20185124,러브 유어셀프 인 서울,LOVE YOURSELF IN SEOUL,,전체관람가,20190126,111,공연,
20184896,가버나움,Capharnaum,Capernaum,15세이상관람가,20190124,126,드라마,나딘 라바키
20176251,내안의 그놈,The Dude in Me,,15세이상관람가,20190109,122,판타지,강효진
20189463,주먹왕 랄프 2: 인터넷 속으로,Ralph Breaks the Internet,,전체관람가,20190103,112,애니메이션,리치 무어
20182544,글래스,Glass,,15세이상관람가,20190117,129,드라마,M. 나이트 샤말란
20186324,언더독,Underdog,,전체관람가,20190116,101,애니메이션,이춘백
20185485,보헤미안 랩소디,Bohemian Rhapsody,,12세이상관람가,20181031,134,드라마,브라이언 싱어
20189385,몬스터 파크,Here Comes the Grump,,전체관람가,20190123,86,애니메이션,안드레스 코투리어
20180290,아쿠아맨,AQUAMAN,,12세이상관람가,20181219,143,액션,제임스 완
